iter	Passed	Remaining
557	2998	2375
558	3002	2369
559	3008	2364
560	3013	2358
561	3018	2352
562	3022	2346
563	3027	2340
564	3031	2334
565	3036	2328
566	3041	2322
567	3046	2316
568	3050	2310
569	3055	2304
570	3059	2298
571	3064	2293
572	3069	2287
573	3074	2281
574	3079	2276
575	3087	2272
576	3092	2267
577	3098	2261
578	3103	2256
579	3108	2251
580	3113	2245
581	3117	2238
582	3122	2233
583	3126	2227
584	3131	2221
585	3136	2215
586	3141	2210
587	3146	2204
588	3152	2199
589	3156	2193
590	3161	2188
591	3166	2182
592	3170	2176
593	3175	2170
594	3182	2166
595	3188	2161
596	3192	2155
597	3197	2149
598	3202	2143
599	3206	2137
600	3210	2131
601	3215	2125
602	3219	2119
603	3224	2114
604	3229	2108
605	3235	2103
606	3239	2097
607	3243	2091
608	3249	2086
609	3253	2080
610	3258	2074
611	3263	2068
612	3268	2063
613	3274	2058
614	3281	2054
615	3286	2048
616	3291	2043
617	3297	2038
618	3302	2032
619	3307	2026
620	3311	2020
621	3316	2015
622	3321	2010
623	3326	2004
624	3331	1999
625	3336	1993
626	3341	1987
627	3346	1982
628	3351	1976
629	3355	1970
630	3359	1964
631	3365	1959
632	3371	1954
633	3375	1948
634	3379	1942
635	3383	1936
636	3387	1930
637	3392	1924
638	3396	1918
639	3400	1912
640	3404	1906
641	3408	1900
642	3412	1894
643	3416	1888
644	3420	1882
645	3424	1876
646	3429	1870
647	3432	1864
648	3436	1858
649	3440	1852
650	3445	1847
651	3449	1840
652	3453	1834
653	3456	1828
654	3461	1823
655	3465	1817
656	3468	1811
657	3474	1805
658	3479	1800
659	3483	1794
660	3487	1788
661	3491	1782
662	3495	1776
663	3499	1770
664	3503	1764
665	3507	1759
666	3511	1753
667	3515	1747
668	3519	1741
669	3523	1735
670	3527	1729
671	3531	1723
672	3534	1717
673	3539	1711
674	3543	1705
675	3546	1700
676	3550	1694
677	3554	1688
678	3558	1682
679	3562	1676
680	3567	1671
681	3572	1665
682	3576	1659
683	3580	1653
684	3583	1648
685	3587	1642
686	3591	1636
687	3595	1630
688	3599	1624
689	3603	1619
690	3607	1613
691	3611	1607
692	3615	1601
693	3619	1595
694	3623	1590
695	3627	1584
696	3631	1578
697	3635	1573
698	3639	1567
699	3643	1561
700	3647	1555
701	3651	1550
702	3655	1544
703	3662	1540
704	3667	1534
705	3671	1528
706	3675	1523
707	3679	1517
708	3683	1511
709	3687	1506
710	3691	1500
711	3695	1494
712	3699	1489
713	3703	1483
714	3707	1477
715	3711	1472
716	3715	1466
717	3720	1461
718	3724	1455
719	3727	1449
720	3731	1444
721	3736	1438
722	3739	1432
723	3743	1427
724	3747	1421
725	3752	1416
726	3757	1411
727	3761	1405
728	3765	1399
729	3769	1394
730	3773	1388
731	3777	1383
732	3781	1377
733	3785	1371
734	3789	1366
735	3793	1360
736	3797	1355
737	3801	1349
738	3805	1344
739	3809	1338
740	3813	1332
741	3817	1327
742	3821	1321
743	3825	1316
744	3829	1310
745	3833	1305
746	3837	1299
747	3841	1294
748	3845	1288
749	3849	1283
750	3853	1277
751	3857	1272
752	3864	1267
753	3869	1262
754	3873	1256
755	3877	1251
756	3881	1246
757	3885	1240
758	3889	1235
759	3893	1229
760	3898	1224
761	3902	1218
762	3906	1213
763	3910	1207
764	3915	1202
765	3919	1197
766	3922	1191
767	3926	1186
768	3930	1180
769	3934	1175
770	3938	1169
771	3942	1164
772	3946	1158
773	3950	1153
774	3955	1148
775	3961	1143
776	3965	1138
777	3969	1132
778	3973	1127
779	3978	1122
780	3981	1116
781	3985	1111
782	3989	1105
783	3993	1100
784	3997	1094
785	4001	1089
786	4005	1084
787	4011	1079
788	4015	1073
789	4018	1068
790	4022	1062
791	4027	1057
792	4030	1052
793	4035	1046
794	4039	1041
795	4044	1036
796	4048	1031
797	4053	1026
798	4058	1020
799	4062	1015
800	4065	1010
801	4069	1004
802	4074	999
803	4078	994
804	4081	988
805	4085	983
806	4089	978
807	4093	972
808	4097	967
809	4101	962
810	4105	956
811	4109	951
812	4113	946
813	4117	940
814	4121	935
815	4125	930
816	4129	924
817	4133	919
818	4137	914
